molecule_chembl_id,activity_label,canonical_smiles_processed,MW,LogP,H_Donors,H_Acceptors,pIC50
CHEMBL1645468,active,CC(C)Nc1ncnn2ccc(CN3CCC(N)CC3)c12,288.39900000000006,1.4727,2,6,6.055517327849832
CHEMBL1645463,active,Cn1ncc2cc(Nc3ncnn4ccc(COC[C@@H]5CNCCO5)c34)ccc21,393.4510000000002,1.8645999999999996,2,9,6.0
CHEMBL2012519,inactive,COc1cc(O)c2c(c1)CCC[C@H](O)[C@H](O)C(=O)/C=C\C[C@H](C)OC2=O,364.3940000000001,1.5195999999999998,3,7,5.0
CHEMBL1651521,inactive,COc1cc(O)c2c(c1)CCC[C@H](O)CC(=O)/C=C\C[C@H](C)OC2=O,348.3950000000001,2.548800000000001,2,6,5.0
CHEMBL1683949,intermediate,Cc1cc(Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)ncn1,343.789,4.900120000000003,1,4,5.187086643357144
CHEMBL1683950,intermediate,Fc1cccc(COc2ccc(Nc3cc(-c4ccccc4)ncn3)cc2Cl)c1,405.8600000000001,6.258700000000004,1,4,5.200659450546418
CHEMBL1683951,inactive,Fc1cccc(COc2ccc(Nc3cc(-c4cccnc4)ncn3)cc2Cl)c1,406.84800000000007,5.653700000000003,1,5,4.0
CHEMBL1683952,inactive,Fc1cccc(COc2ccc(Nc3cc(-c4ccsc4)ncn3)cc2Cl)c1,411.8890000000001,6.320200000000003,1,5,4.443697499232712
CHEMBL1683953,inactive,Fc1cccc(COc2ccc(Nc3cc(N4CCCC4)ncn3)cc2Cl)c1,398.86900000000014,5.191900000000003,1,5,4.0
CHEMBL1683954,inactive,Fc1cccc(COc2ccc(Nc3cc(Oc4ccccc4)ncn3)cc2Cl)c1,421.85900000000004,6.384000000000004,1,5,4.0
CHEMBL1683955,active,Cc1ncnc(Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)c1C,357.81600000000003,5.208540000000003,1,4,6.853871964321762
CHEMBL1683956,intermediate,CCc1ncnc(Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)c1C,371.8430000000001,5.462520000000003,1,4,5.5376020021010435
CHEMBL1683957,inactive,Cc1c(Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)ncnc1-c1ccccc1,419.88700000000006,6.5671200000000045,1,4,4.187086643357144
CHEMBL1683958,active,Cc1ncnc(Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)c1/C=N/OCCN1CCOCC1,499.97400000000033,4.582820000000004,1,8,6.130768280269024
CHEMBL1683959,intermediate,Cc1ncnc(Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)c1/C=N/OCCCN1CCOCC1,514.0010000000003,4.972920000000005,1,8,5.7447274948966935
CHEMBL1683960,intermediate,Cc1ncnc(Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)c1-c1cccc(CN2CCOCC2)c1,519.0200000000003,6.399320000000006,1,6,5.425968732272281
